date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-09-25 00:00:00+00:00,26.2,29.49,23.6931,25.23,2828035,26.2,29.49,23.6931,25.23,2828035,0,1
2020-09-28 00:00:00+00:00,27.79,31.44,25.25,25.36,450838,27.79,31.44,25.25,25.36,450838,0,1
2020-09-29 00:00:00+00:00,28.84,30.02,26.03,27.32,424634,28.84,30.02,26.03,27.32,424634,0,1
2020-09-30 00:00:00+00:00,30.13,30.31,27.2,28.4,129553,30.13,30.31,27.2,28.4,129553,0,1
2020-10-01 00:00:00+00:00,33.5,34.88,30.51,31.45,1223420,33.5,34.88,30.51,31.45,1223420,0,1
2020-10-02 00:00:00+00:00,33.01,36.3273,31.4661,32.93,226060,33.01,36.3273,31.4661,32.93,226060,0,1
2020-10-05 00:00:00+00:00,34.61,35.99,32.3301,33.36,328636,34.61,35.99,32.3301,33.36,328636,0,1
2020-10-06 00:00:00+00:00,39.53,41.0,33.97,35.0,219137,39.53,41.0,33.97,35.0,219137,0,1
2020-10-07 00:00:00+00:00,45.18,50.19,39.52,39.88,527406,45.18,50.19,39.52,39.88,527406,0,1
2020-10-08 00:00:00+00:00,43.23,47.2928,42.0,46.35,144653,43.23,47.2928,42.0,46.35,144653,0,1
2020-10-09 00:00:00+00:00,43.59,48.7699,42.19,42.92,115190,43.59,48.7699,42.19,42.92,115190,0,1
2020-10-12 00:00:00+00:00,44.17,46.3352,43.63,43.65,86063,44.17,46.3352,43.63,43.65,86063,0,1
2020-10-13 00:00:00+00:00,38.94,46.15,38.87,46.15,119297,38.94,46.15,38.87,46.15,119297,0,1
2020-10-14 00:00:00+00:00,35.01,41.2199,33.825,39.73,176964,35.01,41.2199,33.825,39.73,176964,0,1
2020-10-15 00:00:00+00:00,34.01,36.55,33.03,34.45,99543,34.01,36.55,33.03,34.45,99543,0,1
