date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-01-02 00:00:00+00:00,72.34,73.2031,71.89,72.7,2356405,72.34,73.2031,71.89,72.7,2356405,0,1
2015-01-05 00:00:00+00:00,71.98,72.43,71.57,72.21,2405286,71.98,72.43,71.57,72.21,2405286,0,1
2015-01-06 00:00:00+00:00,70.53,72.1,69.88,71.95,2895356,70.53,72.1,69.88,71.95,2895356,0,1
2015-01-07 00:00:00+00:00,71.11,71.29,70.42,70.77,2378276,71.11,71.29,70.42,70.77,2378276,0,1
2015-01-08 00:00:00+00:00,72.915,73.06,71.31,71.4,2624237,72.915,73.06,71.31,71.4,2624237,0,1
2015-01-09 00:00:00+00:00,71.84,73.13,71.63,72.89,1701961,71.84,73.13,71.63,72.89,1701961,0,1
2015-01-12 00:00:00+00:00,71.12,72.26,70.75,72.13,1337867,71.12,72.26,70.75,72.13,1337867,0,1
2015-01-13 00:00:00+00:00,70.59,72.96,69.95,71.95,2103821,70.59,72.96,69.95,71.95,2103821,0,1
2015-01-14 00:00:00+00:00,69.99,70.4,68.98,69.88,1927063,69.99,70.4,68.98,69.88,1927063,0,1
2015-01-15 00:00:00+00:00,70.29,71.75,70.16,71.71,2839158,70.29,71.75,70.16,71.71,2839158,0,1
2015-01-16 00:00:00+00:00,71.73,71.85,70.03,70.03,2375295,71.73,71.85,70.03,70.03,2375295,0,1
2015-01-20 00:00:00+00:00,71.49,71.99,70.58,71.79,1612038,71.49,71.99,70.58,71.79,1612038,0,1
2015-01-21 00:00:00+00:00,71.54,71.89,70.37,71.16,1787889,71.54,71.89,70.37,71.16,1787889,0,1
2015-01-22 00:00:00+00:00,73.48,73.65,70.9,71.9,2178508,73.48,73.65,70.9,71.9,2178508,0,1
2015-01-23 00:00:00+00:00,74.06,74.4,73.06,73.44,1851700,74.06,74.4,73.06,73.44,1851700,0,1
2015-01-26 00:00:00+00:00,72.74,73.15,71.68,72.61,3593663,72.74,73.15,71.68,72.61,3593663,0,1
2015-01-27 00:00:00+00:00,71.46,72.36,71.06,71.71,1798640,71.46,72.36,71.06,71.71,1798640,0,1
2015-01-28 00:00:00+00:00,70.25,71.84,70.07,71.54,2281065,70.25,71.84,70.07,71.54,2281065,0,1
2015-01-29 00:00:00+00:00,71.64,71.82,69.78,70.03,2538051,71.64,71.82,69.78,70.03,2538051,0,1
2015-01-30 00:00:00+00:00,70.13,71.6699,70.06,71.32,2331834,70.13,71.6699,70.06,71.32,2331834,0,1
2015-02-02 00:00:00+00:00,71.11,71.2,69.04,70.44,2381935,71.11,71.2,69.04,70.44,2381935,0,1
2015-02-03 00:00:00+00:00,71.92,71.97,71.0,71.54,1555876,71.92,71.97,71.0,71.54,1555876,0,1
2015-02-04 00:00:00+00:00,72.28,72.62,71.78,71.79,2165414,72.28,72.62,71.78,71.79,2165414,0,1
